date;EURUSD;AUDUSD;EURCHF;EURGBP;EURJPY;NZDUSD;USDCAD
38720;24.23549;-31.31057;80.855234;3.4903;-31.32366;0;2.83864
38721;-215.642311;-249.425226;90.749263;7.839494;191.52566;0;-249.01909
38722;4.46355;-44.11175;59.820538;-9.573264;35.9179;0;383.63699
38723;-26.02123;341.24354;46.260901;-9.566327;-31.31398;0;-18.529321
38726;-67.54408;-67.63029;3.500992;-16.22926;-31.33319;0;84.06664
38727;11.93337;31.2;-50.85996;3.51175;-31.33546;0;-46.79866
38728;182.4625;-110.39228;-13.967745;-170.776335;-31.33319;0;-81.01971
38729;-20.23825;175.078612;3.489229;135.02455;-31.33244;0;149.10998
38730;-9.68711;-76.40068;-25.557951;-50.1334;-31.33423;0;-41.3786
38733;55.90185;23.045747;-15.86053;-79.612726;74.95692;0;-34.18213
38734;142.29308;106.798438;1.548467;20.993702;143.25541;0;-26.96676
38735;-14.10461;-73.01417;-50.679597;-22.710068;-31.32097;0;178.85207
38736;68.84028;55.39203;-38.995637;51.556902;-31.32319;0;136.96283
38737;51.56173;19.237963;44.117078;95.388116;-31.32384;0;-70.20563
38740;-16.90638;-16.710432;36.454832;34.005697;-31.25087;0;-63.65328
38741;0;19.14639;-10.073485;60.233952;-31.31134;0;-61.78579
38742;-5.37897;-44.596639;24.791468;86.53594;177.10461;0;-23.96457
38743;-88.8053;118.864011;-23.604984;20.990642;-31.30194;0;2.08351
38744;-203.3479;35.124132;-50.591522;78.033668;-31.30023;0;-79.00933
38747;-47.63874;99.369591;-56.290242;69.275964;-31.29836;0;-84.25643
38748;-0.49545;-269.700245;11.198208;-9.650251;-31.30032;0;-84.53662
38749;-144.5125;146.570723;-27.391623;47.540791;-31.29604;0;4.73269
38750;86.26673;38.99721;15.049006;38.879562;97.96944;0;75.4717
38751;-175.36847;163.369905;-29.284834;3.532425;-31.28985;0;0.78524
38754;-90.7799;-186.66667;-33.125337;-35.958604;-31.29622;0;91.05181
38755;-9.26181;137.00481;65.233335;-62.052089;-31.30014;0;47.25314
38756;-70.81868;23.53578;-27.39867;-0.8741;124.47957;0;111.621114
38757;-25.0292;23.509701;-50.468082;-40.115113;-31.29836;0;-65.92832
38758;-1.75355;129.334888;-6.168397;82.40554;-31.31025;0;199.65338
38761;-0.50407;-0.81389;-17.733003;-0.877937;-31.31472;0;46.19377
38762;82.31353;-75.86515;-48.504446;-101.469559;-31.32032;0;18.40602
38763;-13.08374;145.485086;7.316979;143.939616;-31.31655;0;-54.43512
38764;-18.17876;11.36364;-42.70271;-62.187965;48.77701;0;-0.51813
38765;-13.62673;-33.31437;-57.920241;25.434134;160.30941;0;-86.53921
38768;12.052025;-33.166154;20.745028;3.500992;-31.30626;0;-87.31417
38769;-8.05775;31.66013;40.022577;65.081645;50.43798;0;-39.74203
38770;67.63009;72.48344;-50.338794;-9.661553;-31.30626;0;-16.1894
38771;-50.812497;-114.475928;18.838667;3.518443;-31.31738;0;93.15639
38772;-93.93149;3.243594;-94.31792;-22.916912;-31.32682;0;-26.05252
38775;-23.28721;84.630825;-61.610286;-14.088228;-31.33839;0;-234.61336
38776;188.16032;-112.12003;36.056309;82.963137;45.17811;0;-124.54921
38777;-26.61177;-97.473215;-52.149905;-0.881549;-31.33338;0;-61.30538
38778;-4.77431;-84.944973;36.067838;-123.572201;201.73489;0;-135.73701
38779;-16.70865;-57.19656;22.65281;47.277184;59.52891;0;68.17581
38782;103.48697;57.65587;7.305725;-5.248425;20.833038;0;86.30822
38783;-154.40249;-209.46407;-40.737372;-35.853787;-31.31088;0;-201.265295
38784;-5.53636;72.740151;41.930603;-88.258425;78.54856;0;214.76742
38785;27.14204;40.004354;-61.724451;82.237322;-31.31052;0;185.41792
38786;-58.50706;167.117228;-52.003671;-66.286778;-31.30943;0;17.57106
38789;62.32617;-62.00538;30.198392;59.920107;-4.642917;0;-10.86582
38790;23.32639;-102.65881;45.604936;64.439349;-31.29979;0;-38.09771
38791;-11.71515;-8.925915;45.648671;7.832671;-31.30509;0;2.07882
38792;-293.615344;15.45344;-120.6552;-96.19829;98.61628;0;9.34434
38793;-25.89715;-248.14509;-40.436922;-52.713446;-31.3014;0;-1.037
38796;-17.22017;-42.44694;14.892886;-35.435453;-31.30409;0;79.38144
38797;-122.07427;-122.27806;-67.072319;-35.450772;-31.30454;0;-3.61328
38798;-12.9107;-98.86397;-57.471994;42.47941;-31.30248;0;50.85181
38799;-210.74587;137.676293;-30.809803;25.151051;-31.30807;0;-55.83909
38800;183.90232;49.88023;-9.890821;20.853849;41.99067;0;-1.79956
38803;69.412078;-43.3612;51.09888;55.7718;-31.31362;0;-28.74251
38804;138.16182;250.276666;24.431833;-118.120494;228.38983;0;104.48143
38805;34.41683;173.1014;-76.521872;-143.801796;-31.30499;0;35.27908
38806;-22.87192;-120.47854;-15.602009;-56.976778;-31.30014;0;-253.74677
38807;85.49833;44.06519;-59.187313;-30.975736;-31.29391;0;166.3529
38810;197.39446;-106.73178;-64.755557;-39.506456;-31.29161;0;116.74945
